fid,x_coord,y_coord,sample_id,sample_name,ipen,match_name,ott_id,rank,wikidataID,unknown
37,2578414.33028856,1182431.74278311,dbgi_000007,Manihot esculenta Crantz,Manihot esculenta Crantz,Manihot esculenta Crantz,Manihot esculenta Crantz,Manihot esculenta Crantz,Manihot esculenta Crantz,
38,2578413.37661816,1182431.98120071,dbgi_000013,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,
38,2578413.37661816,1182431.98120071,dbgi_000090,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,Crescentia cujete L.,
39,2578414.99624827,1182430.99081199,dbgi_000023,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,
39,2578414.99624827,1182430.99081199,dbgi_000105,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,Musa x paradisiaca L.,
40,2578415.42882028,1182431.42086905,dbgi_000022,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,
40,2578415.42882028,1182431.42086905,dbgi_000050,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,Furcraea foetida (L.) Haw.,
41,2578416.60783052,1182431.78604031,dbgi_,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,
42,2578415.54853207,1182432.15221755,dbgi_000005,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,
42,2578415.54853207,1182432.15221755,dbgi_000119,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,Sansevieria longifolia Sims.,
43,2578415.40769467,1182432.8161653,dbgi_000028,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,
43,2578415.40769467,1182432.8161653,dbgi_000088,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium (Willd.) Sweet,
44,2578415.9207452,1182432.59484938,dbgi_,Sansevieria trifasciata Prain 'Hahnii',Sansevieria trifasciata Prain 'Hahnii',Sansevieria trifasciata Prain 'Hahnii',Sansevieria trifasciata Prain 'Hahnii',Sansevieria trifasciata Prain 'Hahnii',Sansevieria trifasciata Prain 'Hahnii',
45,2578416.32112581,1182432.37152151,dbgi_,Brahea edulis H. Wendl.,Brahea edulis H. Wendl.,Brahea edulis H. Wendl.,Brahea edulis H. Wendl.,Brahea edulis H. Wendl.,Brahea edulis H. Wendl.,
46,2578416.50220247,1182432.68941164,dbgi_000021,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,
46,2578416.50220247,1182432.68941164,dbgi_000076,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,Carludovica palmata Ruiz et Pav.,
47,2578416.26479085,1182433.31312013,dbgi_000010,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,
47,2578416.26479085,1182433.31312013,dbgi_000089,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,Ficus elastica Roxb.,
48,2578416.77985335,1182432.94694289,dbgi_000019,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,
48,2578416.77985335,1182432.94694289,dbgi_000049,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii (Teijsm. et Binn.) Kurz,
49,2578417.18928779,1182432.30110281,dbgi_,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,Sansevieria trifasciata Prain,
50,2578417.81098431,1182432.55863405,dbgi_000027,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,
50,2578417.81098431,1182432.55863405,dbgi_000092,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,Carica papaya L.,
